story_id,query_type,formal_form,rung,token_len,yes_id,yes_prompt,no_id,no_prompt
smoking_gene_cancer,nde,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",3,296,14708,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on smoking and lung cancer. Pollution has a direct effect on smoking and lung cancer. Smoking has a direct effect on lung cancer. Pollution is unobserved. For people who do not listen to jazz and nonsmokers, the probability of lung cancer is 29%. For people who do not listen to jazz and smokers, the probability of lung cancer is 70%. For people who listen to jazz and nonsmokers, the probability of lung cancer is 28%. For people who listen to jazz and smokers, the probability of lung cancer is 67%. For people who do not listen to jazz and with low pollution, the probability of smoking is 23%. For people who do not listen to jazz and with high pollution, the probability of smoking is 50%. For people who listen to jazz and with low pollution, the probability of smoking is 57%. For people who listen to jazz and with high pollution, the probability of smoking is 83%. The overall probability of high pollution is 52%. If we disregard the mediation effect through smoking, would listening to jazz positively affect lung cancer?",14838,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on smoking and lung cancer. Pollution has a direct effect on smoking and lung cancer. Smoking has a direct effect on lung cancer. Pollution is unobserved. For people who do not listen to jazz and nonsmokers, the probability of lung cancer is 35%. For people who do not listen to jazz and smokers, the probability of lung cancer is 71%. For people who listen to jazz and nonsmokers, the probability of lung cancer is 35%. For people who listen to jazz and smokers, the probability of lung cancer is 66%. For people who do not listen to jazz and with low pollution, the probability of smoking is 29%. For people who do not listen to jazz and with high pollution, the probability of smoking is 58%. For people who listen to jazz and with low pollution, the probability of smoking is 64%. For people who listen to jazz and with high pollution, the probability of smoking is 84%. The overall probability of high pollution is 56%. If we disregard the mediation effect through smoking, would listening to jazz positively affect lung cancer?"
smoking_tar_cancer,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,128,19612,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. For people who do not have a sister, the probability of lung cancer is 34%. For people who have a sister, the probability of lung cancer is 44%. Will having a sister increase the chance of lung cancer?",19669,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. For people who do not have a sister, the probability of lung cancer is 61%. For people who have a sister, the probability of lung cancer is 81%. Will having a sister decrease the chance of lung cancer?"
smoking_tar_cancer,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,142,14974,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. For people who do not listen to jazz, the probability of lung cancer is 51%. For people who listen to jazz, the probability of lung cancer is 79%. For people who listen to jazz, would it be less likely to see lung cancer if the person did not listen to jazz?",19607,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. For people who do not have a sister, the probability of lung cancer is 64%. For people who have a sister, the probability of lung cancer is 80%. For people who have a sister, would it be more likely to see lung cancer if the person did not have a sister?"
smoking_tar_cancer,nie,"E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]",3,129,14940,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. For people who do not listen to jazz, the probability of lung cancer is 34%. For people who listen to jazz, the probability of lung cancer is 51%. Does listening to jazz positively affect lung cancer through tar deposit?",19659,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. For people who do not have a sister, the probability of lung cancer is 32%. For people who have a sister, the probability of lung cancer is 14%. Does having a sister positively affect lung cancer through tar deposit?"
tax_smoke_birthWeight,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,202,4636,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on maternal smoking status and infant's birth weight. Cigarette tax has a direct effect on maternal smoking status. Maternal smoking status has a direct effect on infant's birth weight. Unobserved confounders is unobserved. For areas with low cigarette tax, the probability of normal infant birth weight is 56%. For areas with high cigarette tax, the probability of normal infant birth weight is 67%. For areas with low cigarette tax, the probability of smoking mother is 49%. For areas with high cigarette tax, the probability of smoking mother is 20%. Will smoking mother decrease the chance of normal infant birth weight?",9336,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on maternal smoking status and infant's birth weight. Cigarette tax has a direct effect on maternal smoking status. Maternal smoking status has a direct effect on infant's birth weight. Unobserved confounders is unobserved. For areas with low cigarette tax, the probability of normal infant birth weight is 49%. For areas with high cigarette tax, the probability of normal infant birth weight is 54%. For areas with low cigarette tax, the probability of smoking mother is 27%. For areas with high cigarette tax, the probability of smoking mother is 50%. Will smoking mother decrease the chance of normal infant birth weight?"
vaccine_kills,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,149,1244,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival. For unvaccinated individuals, the probability of smallpox survival is 50%. For vaccinated individuals, the probability of smallpox survival is 59%. Will vaccination increase the chance of smallpox survival?",1179,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival. For unvaccinated individuals, the probability of smallpox survival is 42%. For vaccinated individuals, the probability of smallpox survival is 54%. Will vaccination decrease the chance of smallpox survival?"
water_cholera,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,187,4736,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Poverty has a direct effect on water quality and cholera. Water company has a direct effect on water quality. Water quality has a direct effect on cholera. Poverty is unobserved. For people served by a local water company, the probability of cholera contraction is 29%. For people served by a global water company, the probability of cholera contraction is 33%. For people served by a local water company, the probability of clean water is 83%. For people served by a global water company, the probability of clean water is 68%. Will clean water decrease the chance of cholera contraction?",9467,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Poverty has a direct effect on water quality and cholera. Water company has a direct effect on water quality. Water quality has a direct effect on cholera. Poverty is unobserved. For people served by a local water company, the probability of cholera contraction is 47%. For people served by a global water company, the probability of cholera contraction is 41%. For people served by a local water company, the probability of clean water is 50%. For people served by a global water company, the probability of clean water is 18%. Will clean water decrease the chance of cholera contraction?"
nonsense2,marginal,P(Y),1,145,22112,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Xevo has a direct effect on gyzp. Tijv has a direct effect on gyzp. The overall probability of xevo is 70%. For those who are not xevo, the probability of gyzp is 77%. For those who are xevo, the probability of gyzp is 22%. Is gyzp less likely than not gyzp overall?",21772,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Xevo has a direct effect on tijv. Gyzp has a direct effect on tijv. The overall probability of xevo is 69%. For those who are not xevo, the probability of gyzp is 74%. For those who are xevo, the probability of gyzp is 74%. Is gyzp less likely than not gyzp overall?"
nonsense9,marginal,P(Y),1,162,29509,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on zory and zuph. Zuph has a direct effect on glimx. Zory has a direct effect on glimx. The overall probability of zuph is 77%. For those who are not zuph, the probability of glimx is 61%. For those who are zuph, the probability of glimx is 94%. Is glimx more likely than not glimx overall?",29486,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zuph has a direct effect on zory and jyka. Jyka has a direct effect on glimx. Zory has a direct effect on glimx. The overall probability of zuph is 64%. For those who are not zuph, the probability of glimx is 71%. For those who are zuph, the probability of glimx is 44%. Is glimx less likely than not glimx overall?"
alarm,correlation,P(Y | X),1,134,15293,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. The overall probability of having a brother is 1%. The probability of not having a brother and ringing alarm is 73%. The probability of having a brother and ringing alarm is 0%. Is the chance of ringing alarm smaller when observing having a brother?",15284,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. The overall probability of having a brother is 2%. The probability of not having a brother and ringing alarm is 78%. The probability of having a brother and ringing alarm is 1%. Is the chance of ringing alarm larger when observing having a brother?"
smoking_frontdoor,marginal,P(Y),1,146,4197,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. The overall probability of smoking is 63%. For nonsmokers, the probability of lung cancer is 57%. For smokers, the probability of lung cancer is 53%. Is lung cancer more likely than absence of lung cancer overall?",4213,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. The overall probability of smoking is 37%. For nonsmokers, the probability of lung cancer is 46%. For smokers, the probability of lung cancer is 43%. Is lung cancer more likely than absence of lung cancer overall?"
nonsense4,correlation,P(Y | X),1,156,27298,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Hwax has a direct effect on gyzp and jyka. Jyka has a direct effect on lirg. Gyzp has a direct effect on lirg. The overall probability of jyka is 18%. The probability of not jyka and lirg is 59%. The probability of jyka and lirg is 6%. Is the chance of lirg smaller when observing jyka?",22926,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Hwax has a direct effect on gyzp and jyka. Jyka has a direct effect on lirg. Gyzp has a direct effect on lirg. The overall probability of jyka is 13%. The probability of not jyka and lirg is 48%. The probability of jyka and lirg is 9%. Is the chance of lirg smaller when observing jyka?"
nonsense3,correlation,P(Y | X),1,140,26883,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yomx has a direct effect on xevu. Gwet has a direct effect on xevu. The overall probability of yomx is 11%. The probability of not yomx and xevu is 37%. The probability of yomx and xevu is 8%. Is the chance of xevu larger when observing yomx?",26495,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yomx has a direct effect on gwet. Gwet has a direct effect on xevu. The overall probability of yomx is 63%. The probability of not yomx and xevu is 22%. The probability of yomx and xevu is 38%. Is the chance of xevu smaller when observing yomx?"
nonsense8,correlation,P(Y | X),1,154,24694,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Hwax has a direct effect on kraz and pexu. Pexu has a direct effect on rukz. Kraz has a direct effect on rukz. The overall probability of pexu is 58%. The probability of not pexu and rukz is 8%. The probability of pexu and rukz is 50%. Is the chance of rukz larger when observing pexu?",29051,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on kraz and hwax. Hwax has a direct effect on rukz. Kraz has a direct effect on rukz. The overall probability of pexu is 40%. The probability of not pexu and rukz is 29%. The probability of pexu and rukz is 19%. Is the chance of rukz smaller when observing pexu?"
college_salary,marginal,P(Y),1,137,12104,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Education level has a direct effect on skill. Skill has a direct effect on black hair. The overall probability of college degree or higher is 13%. For people without a college degree, the probability of black hair is 37%. For people with a college degree or higher, the probability of black hair is 45%. Is black hair less likely than blond hair overall?",12116,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Education level has a direct effect on skill. Skill has a direct effect on black hair. The overall probability of college degree or higher is 43%. For people without a college degree, the probability of black hair is 31%. For people with a college degree or higher, the probability of black hair is 56%. Is black hair more likely than blond hair overall?"
smoking_frontdoor,correlation,P(Y | X),1,143,9021,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. The overall probability of smoking is 53%. The probability of nonsmoking and lung cancer is 19%. The probability of smoking and lung cancer is 37%. Is the chance of lung cancer larger when observing smoking?",8943,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. The overall probability of smoking is 55%. The probability of nonsmoking and lung cancer is 33%. The probability of smoking and lung cancer is 47%. Is the chance of lung cancer smaller when observing smoking?"
floor_wet,marginal,P(Y),1,143,628,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. The overall probability of rainy season is 28%. For people in the dry season, the probability of wet ground is 39%. For in the rainy season, the probability of wet ground is 46%. Is wet ground less likely than dry ground overall?",5348,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. The overall probability of rainy season is 98%. For people in the dry season, the probability of wet ground is 41%. For in the rainy season, the probability of wet ground is 38%. Is wet ground more likely than dry ground overall?"
firing_employee,correlation,P(Y | X),1,151,371,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 15%. The probability of manager not signing the termination letter and employee being fired is 25%. The probability of manager signing the termination letter and employee being fired is 11%. Is the chance of employee being fired larger when observing manager signing the termination letter?",295,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 30%. The probability of manager not signing the termination letter and employee being fired is 13%. The probability of manager signing the termination letter and employee being fired is 17%. Is the chance of employee being fired smaller when observing manager signing the termination letter?"
nonsense5,marginal,P(Y),1,163,27732,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yupt has a direct effect on qwiu and jyka. Jyka has a direct effect on kwox. Qwiu has a direct effect on kwox. The overall probability of jyka is 61%. For those who are not jyka, the probability of kwox is 30%. For those who are jyka, the probability of kwox is 15%. Is kwox less likely than not kwox overall?",27735,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yupt has a direct effect on qwiu and jyka. Jyka has a direct effect on kwox. Qwiu has a direct effect on kwox. The overall probability of jyka is 86%. For those who are not jyka, the probability of kwox is 16%. For those who are jyka, the probability of kwox is 81%. Is kwox less likely than not kwox overall?"
nonsense8,marginal,P(Y),1,147,24348,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on hwax. Hwax has a direct effect on rukz. The overall probability of pexu is 64%. For those who are not pexu, the probability of rukz is 89%. For those who are pexu, the probability of rukz is 76%. Is rukz more likely than not rukz overall?",29093,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on rukz. Hwax has a direct effect on rukz. The overall probability of pexu is 0%. For those who are not pexu, the probability of rukz is 36%. For those who are pexu, the probability of rukz is 79%. Is rukz more likely than not rukz overall?"
firing_employee,correlation,P(Y | X),1,150,5100,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 19%. The probability of manager not signing the termination letter and employee being fired is 60%. The probability of manager signing the termination letter and employee being fired is 7%. Is the chance of employee being fired smaller when observing manager signing the termination letter?",5194,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 17%. The probability of manager not signing the termination letter and employee being fired is 76%. The probability of manager signing the termination letter and employee being fired is 6%. Is the chance of employee being fired larger when observing manager signing the termination letter?"
firing_squad,correlation,P(Y | X),1,153,10872,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. The overall probability of having a sister is 79%. The probability of not having a sister and the prisoner's death is 7%. The probability of having a sister and the prisoner's death is 56%. Is the chance of the prisoner's death larger when observing having a sister?",10894,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. The overall probability of having a sister is 73%. The probability of not having a sister and the prisoner's death is 7%. The probability of having a sister and the prisoner's death is 52%. Is the chance of the prisoner's death smaller when observing having a sister?"
simpson_kidneystone,marginal,P(Y),1,135,14234,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on treatment and lip thickness. Treatment has a direct effect on lip thickness. The overall probability of receives treatment is 64%. For patients not receiving treatment, the probability of thick lips is 80%. For patients receiving treatment, the probability of thick lips is 51%. Is thick lips more likely than thin lips overall?",14201,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on treatment and lip thickness. Treatment has a direct effect on lip thickness. The overall probability of receives treatment is 46%. For patients not receiving treatment, the probability of thick lips is 60%. For patients receiving treatment, the probability of thick lips is 39%. Is thick lips more likely than thin lips overall?"
